"","YearMonth","FARC_HRV"
"1","1990-01",0
"2","1990-02",1
"3","1990-03",1
"4","1990-04",3
"5","1990-05",0
"6","1990-06",0
"7","1990-07",0
"8","1990-08",0
"9","1990-09",0
"10","1990-10",0
"11","1990-11",2
"12","1990-12",4
"13","1991-01",3
"14","1991-02",3
"15","1991-03",1
"16","1991-04",0
"17","1991-05",1
"18","1991-06",0
"19","1991-07",2
"20","1991-08",0
"21","1991-09",0
"22","1991-10",0
"23","1991-11",0
"24","1991-12",1
"25","1992-01",0
"26","1992-02",0
"27","1992-03",1
"28","1992-04",0
"29","1992-05",1
"30","1992-06",0
"31","1992-07",0
"32","1992-08",1
"33","1992-09",0
"34","1992-10",0
"35","1992-11",0
"36","1992-12",4
"37","1993-01",1
"38","1993-02",0
"39","1993-03",1
"40","1993-04",0
"41","1993-05",0
"42","1993-06",0
"43","1993-07",0
"44","1993-08",0
"45","1993-09",0
"46","1993-10",0
"47","1993-11",0
"48","1993-12",2
"49","1994-01",0
"50","1994-02",1
"51","1994-03",0
"52","1994-04",2
"53","1994-05",0
"54","1994-06",5
"55","1994-07",0
"56","1994-08",2
"57","1994-09",0
"58","1994-10",0
"59","1994-11",1
"60","1994-12",0
"61","1995-01",0
"62","1995-02",1
"63","1995-03",0
"64","1995-04",0
"65","1995-05",1
"66","1995-06",0
"67","1995-07",0
"68","1995-08",2
"69","1995-09",0
"70","1995-10",0
"71","1995-11",1
"72","1995-12",1
"73","1996-01",0
"74","1996-02",0
"75","1996-03",0
"76","1996-04",0
"77","1996-05",0
"78","1996-06",0
"79","1996-07",1
"80","1996-08",0
"81","1996-09",5
"82","1996-10",0
"83","1996-11",0
"84","1996-12",1
"85","1997-01",1
"86","1997-02",0
"87","1997-03",0
"88","1997-04",1
"89","1997-05",0
"90","1997-06",2
"91","1997-07",0
"92","1997-08",1
"93","1997-09",0
"94","1997-10",2
"95","1997-11",2
"96","1997-12",1
"97","1998-01",1
"98","1998-02",0
"99","1998-03",5
"100","1998-04",1
"101","1998-05",1
"102","1998-06",0
"103","1998-07",1
"104","1998-08",4
"105","1998-09",3
"106","1998-10",0
"107","1998-11",3
"108","1998-12",0
"109","1999-01",1
"110","1999-02",2
"111","1999-03",1
"112","1999-04",5
"113","1999-05",1
"114","1999-06",2
"115","1999-07",2
"116","1999-08",5
"117","1999-09",0
"118","1999-10",7
"119","1999-11",2
"120","1999-12",5
"121","2000-01",2
"122","2000-02",1
"123","2000-03",8
"124","2000-04",2
"125","2000-05",3
"126","2000-06",4
"127","2000-07",2
"128","2000-08",4
"129","2000-09",6
"130","2000-10",2
"131","2000-11",2
"132","2000-12",2
"133","2001-01",1
"134","2001-02",5
"135","2001-03",4
"136","2001-04",5
"137","2001-05",2
"138","2001-06",2
"139","2001-07",0
"140","2001-08",0
"141","2001-09",2
"142","2001-10",1
"143","2001-11",2
"144","2001-12",2
"145","2002-01",2
"146","2002-02",2
"147","2002-03",4
"148","2002-04",3
"149","2002-05",5
"150","2002-06",11
"151","2002-07",10
"152","2002-08",0
"153","2002-09",2
